Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
131255203,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
131330102,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
131405384,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
131480108,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
131555120,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
131630176,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
131705179,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
131780155,00000100,false,Rx,0,8,00,00,00,00,8B,01,07,00,
131855186,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
131930134,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
132005371,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
132080223,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
132155198,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
132230129,00000100,false,Rx,0,8,00,00,00,00,8B,01,07,00,
132305253,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
132380215,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
132455241,00000100,false,Rx,0,8,00,00,00,00,8B,01,07,00,
132530209,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
132605162,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
132680158,00000100,false,Rx,0,8,00,00,00,00,8B,01,07,00,
132755231,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
132830295,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
132905277,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
132980137,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
133055204,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
133130276,00000100,false,Rx,0,8,00,00,00,00,8B,01,07,00,
133205458,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
133280236,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
133355303,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
133430192,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
133505267,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
133580353,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
133655242,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
133730199,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
133805428,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
133880177,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
133955213,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
134030253,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
134105330,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
134180309,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
134255268,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
134330353,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
134405332,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
134480357,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
134555207,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
134630299,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
134705287,00000100,false,Rx,0,8,00,00,00,00,8B,01,07,00,
134780254,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
134855330,00000102,true,Rx,0,8,01,89,01,00,00,00,00,00,
134930339,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
135005562,00000101,true,Rx,0,8,00,FF,5A,3C,00,00,00,00,
135080353,00000102,false,Rx,0,8,01,89,01,00,00,00,00,00,
135155261,00000100,true,Rx,0,8,00,00,00,00,8B,01,07,00,
