Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
65117651,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
65192659,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
65267626,00000102,false,Rx,0,8,01,89,01,05,00,00,0C,00,
65342932,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
65387672,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
65388626,00000109,false,Rx,0,8,01,01,00,00,00,20,FF,5A,
65417558,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
65487627,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
65488580,00000109,false,Rx,0,8,01,01,00,00,00,20,FF,5A,
65492685,00000102,false,Rx,0,8,01,89,01,04,00,01,0C,00,
65567620,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
65587728,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
65588679,00000109,false,Rx,0,8,01,01,00,00,00,20,FF,5A,
65642569,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
65687763,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
65688716,00000109,false,Rx,0,8,01,05,00,00,00,20,FF,5A,
65717696,00000102,false,Rx,0,8,01,89,01,03,00,01,0C,00,
65787657,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
65788610,00000109,false,Rx,0,8,01,54,01,00,00,24,FF,5A,
65793464,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
65867698,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
65887775,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
65888602,00000109,false,Rx,0,8,01,54,01,00,00,24,FF,5A,
65942809,00000102,false,Rx,0,8,01,89,01,04,00,01,0C,00,
65987707,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
65988658,00000109,false,Rx,0,8,01,55,01,00,00,24,FF,5A,
66017569,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
66087661,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
66088611,00000109,false,Rx,0,8,01,55,01,00,00,24,FF,5A,
66092627,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
66167650,00000102,false,Rx,0,8,01,89,01,05,00,01,0C,00,
66187720,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
66188672,00000109,false,Rx,0,8,01,55,01,00,00,24,FF,5A,
66242682,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
66287672,00000108,false,Rx,0,8,01,DB,01,7D,90,01,00,00,
66288626,00000109,false,Rx,0,8,01,55,01,00,00,24,FF,5A,
