Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18446744071797529302,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071797604202,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071797679306,00000102,false,Rx,0,8,01,89,01,00,00,00,07,00,
18446744071797754236,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071797822189,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071797822451,00000109,false,Rx,0,8,02,00,00,00,00,20,00,0A,
18446744071797829222,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071797904219,00000102,false,Rx,0,8,01,89,01,00,00,00,07,00,
18446744071797922395,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071797922655,00000109,false,Rx,0,8,02,00,00,00,00,20,00,0A,
18446744071797979324,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071798022698,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798022958,00000109,false,Rx,0,8,02,00,00,00,00,20,00,0A,
18446744071798054621,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071798123108,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798123359,00000109,false,Rx,0,8,02,00,00,00,00,20,00,0A,
18446744071798129350,00000102,false,Rx,0,8,01,89,01,00,00,01,07,00,
18446744071798204236,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071798223196,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798223450,00000109,false,Rx,0,8,02,00,00,00,00,20,00,0A,
18446744071798279254,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071798323504,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798323762,00000109,false,Rx,0,8,02,00,00,00,00,20,00,0A,
18446744071798354237,00000102,false,Rx,0,8,01,89,01,04,00,01,07,00,
18446744071798423861,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798424114,00000109,false,Rx,0,8,02,00,00,00,00,20,00,0A,
18446744071798429219,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071798504190,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071798525278,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798525538,00000109,false,Rx,0,8,02,00,00,00,00,20,00,0A,
18446744071798579224,00000102,false,Rx,0,8,01,89,01,05,00,01,07,00,
18446744071798625710,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798625960,00000109,false,Rx,0,8,02,00,00,00,00,24,00,0A,
18446744071798654527,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071798726169,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798726422,00000109,false,Rx,0,8,02,00,00,00,00,24,00,0A,
18446744071798730276,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071798804218,00000102,false,Rx,0,8,01,89,01,06,00,01,07,00,
18446744071798826871,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798827124,00000109,false,Rx,0,8,02,00,00,00,00,24,00,0A,
18446744071798879268,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071798927154,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071798927408,00000109,false,Rx,0,8,02,00,00,00,00,24,00,0A,
18446744071798954322,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071799027346,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071799027614,00000109,false,Rx,0,8,02,00,00,00,00,24,00,0A,
18446744071799029212,00000102,false,Rx,0,8,01,89,01,07,00,01,07,00,
18446744071799104220,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071799127783,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071799127824,00000109,false,Rx,0,8,02,76,00,00,00,24,00,0A,
18446744071799179357,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071799228029,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071799228282,00000109,false,Rx,0,8,02,5D,01,00,00,24,00,0A,
18446744071799254512,00000102,false,Rx,0,8,01,89,01,08,00,01,07,00,
18446744071799328161,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071799328420,00000109,false,Rx,0,8,02,5D,01,00,00,24,00,0A,
18446744071799329251,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
18446744071799404352,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
18446744071799428482,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071799428739,00000109,false,Rx,0,8,02,5D,01,00,00,24,00,0A,
18446744071799479374,00000102,false,Rx,0,8,01,89,01,09,00,01,07,00,
18446744071799528774,00000108,false,Rx,0,8,00,B6,03,4E,DB,01,00,00,
18446744071799529033,00000109,false,Rx,0,8,02,5D,01,00,00,24,00,0A,
