Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
310383600,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
310458486,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
310533568,00000102,false,Rx,0,8,01,89,01,00,00,00,09,00,
310608556,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
310618920,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
310619455,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
310683548,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
310718818,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
310719461,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
310758559,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
310819062,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
310819521,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
310833544,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
310908541,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
310919088,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
310919363,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
310983571,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
311018956,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311019403,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311058559,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
311119142,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311119591,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311133539,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
311208623,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
311220290,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311220298,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311283578,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
311319139,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311319590,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311358489,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
311419152,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311421308,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311433503,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
311508529,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
311519197,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311519646,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311583641,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
311619157,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311619608,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311658647,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
311719299,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311719747,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311733578,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
311808677,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
311819356,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311819798,00000109,false,Rx,0,8,02,01,00,00,00,20,FF,5A,
311883828,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
311919400,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
311919844,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
311958570,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
312019344,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
312019794,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
312033632,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
312108695,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
312119370,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
312119812,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
312183605,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
312219415,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
312219857,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
312258585,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
312319562,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
312320013,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
312333578,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
312408710,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
312419573,00000108,false,Rx,0,8,01,F4,01,6F,90,01,00,00,
312420015,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
312483914,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
312519493,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
312519936,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
312558561,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
312619555,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
312620000,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
312633540,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
312708553,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
312719610,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
312720052,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
312783586,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
312819700,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
312820146,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
312858698,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
312919762,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
312920208,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
312933729,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
313008583,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
313019829,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313020078,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
313083993,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
313119707,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313120151,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
313158551,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
313219764,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313220212,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
313233610,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
313308566,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
313319815,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313320258,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
313383698,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
313419829,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313420274,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
313458556,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
313519815,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313520260,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
313534029,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
313608574,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
313619945,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313620398,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
313683890,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
313719937,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313720391,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
313758711,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
313819980,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313820439,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
313833659,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
313908709,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
313919999,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
313920450,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
313983623,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
314020028,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
314020480,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
314058752,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
314120058,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
314120510,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
314135009,00000102,false,Rx,0,8,02,89,01,00,00,09,09,00,
314208622,00000100,false,Rx,0,8,00,00,00,00,90,01,12,00,
314220018,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
314220469,00000109,false,Rx,0,8,02,01,00,00,00,24,FF,5A,
314283636,00000101,false,Rx,0,8,00,FF,5A,3C,00,00,00,00,
314320025,00000108,false,Rx,0,8,01,F4,01,70,90,01,00,00,
314320482,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
