Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
321132219,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
321207057,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
321282142,00000102,false,Rx,0,8,01,8A,01,00,00,00,63,00,
321357012,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
321432010,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
321447752,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
321447991,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,3C,
321507158,00000102,false,Rx,0,8,02,8A,01,00,00,08,63,00,
321546615,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
321546856,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
321582172,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
321646348,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
321646578,00000109,false,Rx,0,8,02,00,00,00,00,20,FF,5A,
321657234,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
321732046,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
321746085,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
321746091,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
321807163,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
321845410,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
321845641,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
321882169,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
321945086,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
321945319,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
321957171,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
322032069,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
322044617,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322044867,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322107239,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
322144251,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322144494,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322182086,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
322243923,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322244153,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322257089,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
322332015,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
322343361,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322343815,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322407131,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
322443120,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322443351,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322482049,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
322542649,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322542894,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322557123,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
322632070,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
322642264,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322642496,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322707070,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
322741932,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322742162,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322782055,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
322841534,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322841775,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
322857154,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
322932171,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
322941044,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
322941277,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323007169,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
323040641,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323040891,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323081982,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
323140284,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323140515,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323157064,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
323232057,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
323239823,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323240053,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323307186,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
323339405,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323339635,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323382158,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
323439020,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323439251,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323457173,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
323532017,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
323538724,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323538961,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323607136,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
323638251,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323638484,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323682085,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
323737870,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323738102,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323757283,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
323832174,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
323837381,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323837619,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323907166,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
323937032,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
323937264,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
323982095,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
324036628,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324038210,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324058314,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
324132085,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
324136155,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324136383,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324207010,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
324235749,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324235987,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324282140,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
324335388,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324335618,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324357077,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
324431971,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
324434949,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324435180,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324507180,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
324534590,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324534835,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324582135,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
324634228,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324634461,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324657013,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
324732060,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
324733833,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324734066,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324807061,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
324833428,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324833668,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324881966,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
324933070,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
324933300,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
324957019,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
325031993,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
325032600,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325032851,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325106991,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
325132178,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325132407,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325182061,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
325231898,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325232129,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325256991,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
325331511,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325331751,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325331991,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
325407050,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
325431070,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325431300,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325482120,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
325530752,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325530757,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325556965,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
325630240,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325630472,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325632054,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
325707077,00000101,false,Rx,0,8,00,FF,5A,3C,00,03,00,00,
325729829,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325730061,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325782016,00000102,false,Rx,0,8,02,8A,01,00,00,09,63,00,
325829449,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
325829693,00000109,false,Rx,0,8,02,00,00,00,00,24,FF,5A,
325857077,00000100,false,Rx,0,8,00,00,00,00,90,01,64,00,
325928918,00000108,false,Rx,0,8,00,F4,01,7D,90,01,00,00,
