Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
13055929,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13056175,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13092679,00000524,false,Rx,0,6,03,06,E6,FF,FF,FF,00,00,
13155675,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13155927,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13156173,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13205667,00000522,false,Rx,0,6,01,07,0B,B6,05,00,00,00,
13255675,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13255920,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13256172,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13282706,00000526,false,Rx,0,6,05,09,04,00,00,00,00,00,
13304951,00000527,false,Rx,0,6,06,00,B8,2A,01,00,00,00,
13353040,00000525,false,Rx,0,6,04,06,5E,00,00,00,00,00,
13355666,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13355922,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13356168,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13455666,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13455918,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13456163,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13491276,00000521,false,Rx,0,6,00,07,F8,FF,FF,FF,00,00,
13550836,00000523,false,Rx,0,6,02,0D,E6,FF,FF,FF,00,00,
13555668,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13555916,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13556162,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13637845,00000528,false,Rx,0,6,07,0B,A6,1E,00,00,00,00,
13655662,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13655928,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13656163,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13755665,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13755911,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13756159,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13760743,00000524,false,Rx,0,6,03,07,F8,FF,FF,FF,00,00,
13837426,00000522,false,Rx,0,6,01,08,15,B6,05,00,00,00,
13855658,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13855909,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13856155,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13955655,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
13955908,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
13956156,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
13987092,00000526,false,Rx,0,6,05,0A,04,00,00,00,00,00,
14027507,00000527,false,Rx,0,6,06,01,B8,2A,01,00,00,00,
14039295,00000525,false,Rx,0,6,04,07,5E,00,00,00,00,00,
14055655,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14055907,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14056154,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14104864,00000521,false,Rx,0,6,00,08,F7,FF,FF,FF,00,00,
14155655,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14155901,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14156149,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14200744,00000523,false,Rx,0,6,02,0E,F4,FF,FF,FF,00,00,
14255652,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14255898,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14256150,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14355645,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14355897,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14356148,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14378432,00000528,false,Rx,0,6,07,0C,A6,1E,00,00,00,00,
14428828,00000524,false,Rx,0,6,03,08,FD,FF,FF,FF,00,00,
14455648,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14455900,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14456146,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14469170,00000522,false,Rx,0,6,01,09,18,B6,05,00,00,00,
14555642,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14555894,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14556146,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14655642,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14655894,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14656140,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14691375,00000526,false,Rx,0,6,05,0B,04,00,00,00,00,00,
14718473,00000521,false,Rx,0,6,00,09,F7,FF,FF,FF,00,00,
14725558,00000525,false,Rx,0,6,04,08,5E,00,00,00,00,00,
14749828,00000527,false,Rx,0,6,06,02,B8,2A,01,00,00,00,
14755643,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14755889,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14756141,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14850681,00000523,false,Rx,0,6,02,0F,F4,FF,FF,FF,00,00,
14855642,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14855887,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14856139,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
14955639,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
14955885,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
14956137,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15055637,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15055883,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15056135,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15096938,00000524,false,Rx,0,6,03,09,DB,FF,FF,FF,00,00,
15100946,00000522,false,Rx,0,6,01,0A,14,B6,05,00,00,00,
15119190,00000528,false,Rx,0,6,07,0D,A6,1E,00,00,00,00,
15155630,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15155885,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15156131,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15255630,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15255882,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15256128,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
