Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5663869,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5678005,00000521,false,Rx,0,6,00,00,0F,00,00,00,00,00,
5763368,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5763622,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
5763864,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5863368,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5863615,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
5863861,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5888435,00000524,false,Rx,0,6,03,03,F9,FF,FF,FF,00,00,
5954928,00000527,false,Rx,0,6,06,03,BC,86,00,00,00,00,
5963364,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5963619,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
5963865,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6047571,00000528,false,Rx,0,6,07,00,6E,0D,00,00,00,00,
6063361,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6063621,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6063861,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6091789,00000523,false,Rx,0,6,02,0B,ED,FF,FF,FF,00,00,
6163359,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6163613,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6163859,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6202513,00000522,false,Rx,0,6,01,05,CA,C1,05,00,00,00,
6239099,00000526,false,Rx,0,6,05,0B,05,00,00,00,00,00,
6256910,00000525,false,Rx,0,6,04,0A,BD,00,00,00,00,00,
6263359,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6263613,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6263853,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6290110,00000521,false,Rx,0,6,00,01,0C,00,00,00,00,00,
6363353,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6363614,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6363854,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6463357,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6463612,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6463852,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6554884,00000524,false,Rx,0,6,03,04,FA,FF,FF,FF,00,00,
6563352,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6563601,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6563855,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6663352,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6663600,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6663854,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6676066,00000527,false,Rx,0,6,06,04,BC,86,00,00,00,00,
6740122,00000523,false,Rx,0,6,02,0C,F4,FF,FF,FF,00,00,
6763347,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6763604,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6763843,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6786487,00000528,false,Rx,0,6,07,01,6E,0D,00,00,00,00,
6832713,00000522,false,Rx,0,6,01,06,CB,C1,05,00,00,00,
6863342,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6863598,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6863845,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
6902186,00000521,false,Rx,0,6,00,02,09,00,00,00,00,00,
6941817,00000525,false,Rx,0,6,04,0B,BD,00,00,00,00,00,
6942038,00000526,false,Rx,0,6,05,0C,06,00,00,00,00,00,
6963345,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
6963597,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
6963843,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7063343,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7063597,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7063840,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7163341,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7163594,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7163837,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7221322,00000524,false,Rx,0,6,03,05,E6,FF,FF,FF,00,00,
7263335,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7263595,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7263834,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7363338,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7363593,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7363836,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7388442,00000523,false,Rx,0,6,02,0D,F1,FF,FF,FF,00,00,
7396540,00000527,false,Rx,0,6,06,05,BC,86,00,00,00,00,
7462934,00000522,false,Rx,0,6,01,07,C7,C1,05,00,00,00,
7463333,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7463580,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7463833,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7514264,00000521,false,Rx,0,6,00,03,15,00,00,00,00,00,
7525426,00000528,false,Rx,0,6,07,02,6E,0D,00,00,00,00,
7563328,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7563581,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7563830,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7626049,00000525,false,Rx,0,6,04,0C,BD,00,00,00,00,00,
7644688,00000526,false,Rx,0,6,05,0D,01,00,00,00,00,00,
7663326,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7663579,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7663845,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7763329,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7763576,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7763824,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7863325,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7863571,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7863825,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
7887773,00000524,false,Rx,0,6,03,06,F6,FF,FF,FF,00,00,
7963323,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
7963576,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
7963824,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
8036760,00000523,false,Rx,0,6,02,0E,F1,FF,FF,FF,00,00,
8063322,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
8063569,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
8063816,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
8093127,00000522,false,Rx,0,6,01,08,D2,C1,05,00,00,00,
8117365,00000527,false,Rx,0,6,06,06,BC,86,00,00,00,00,
8126351,00000521,false,Rx,0,6,00,04,0E,00,00,00,00,00,
8163318,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
8163571,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
8163819,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
8263320,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
8263567,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
8263815,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
