Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21159026,00000525,false,Rx,0,6,04,01,5E,00,00,00,00,00,
21304091,00000521,false,Rx,0,6,00,05,FB,FF,FF,FF,00,00,
21340433,00000524,false,Rx,0,6,03,0B,FB,FF,FF,FF,00,00,
21425277,00000528,false,Rx,0,6,07,08,A6,1E,00,00,00,00,
21568660,00000526,false,Rx,0,6,05,0B,02,00,00,00,00,00,
21603221,00000527,false,Rx,0,6,06,08,B6,2A,01,00,00,00,
21727965,00000522,false,Rx,0,6,01,0E,8F,B3,05,00,00,00,
21808727,00000523,false,Rx,0,6,02,0B,DF,FF,FF,FF,00,00,
21845405,00000525,false,Rx,0,6,04,02,5E,00,00,00,00,00,
21917724,00000521,false,Rx,0,6,00,06,F8,FF,FF,FF,00,00,
22008565,00000524,false,Rx,0,6,03,0C,F9,FF,FF,FF,00,00,
22166071,00000528,false,Rx,0,6,07,09,A6,1E,00,00,00,00,
22273292,00000526,false,Rx,0,6,05,0C,02,00,00,00,00,00,
22325514,00000527,false,Rx,0,6,06,09,B6,2A,01,00,00,00,
22359781,00000522,false,Rx,0,6,01,0F,9F,B3,05,00,00,00,
22458684,00000523,false,Rx,0,6,02,0C,E7,FF,FF,FF,00,00,
22531646,00000521,false,Rx,0,6,00,07,F7,FF,FF,FF,00,00,
22531867,00000525,false,Rx,0,6,04,03,5E,00,00,00,00,00,
22676687,00000524,false,Rx,0,6,03,0D,E8,FF,FF,FF,00,00,
22906858,00000528,false,Rx,0,6,07,0A,A6,1E,00,00,00,00,
22977476,00000526,false,Rx,0,6,05,0D,00,00,00,00,00,00,
22991556,00000522,false,Rx,0,6,01,00,95,B3,05,00,00,00,
23048142,00000527,false,Rx,0,6,06,0A,B6,2A,01,00,00,00,
23108647,00000523,false,Rx,0,6,02,0D,E7,FF,FF,FF,00,00,
23145310,00000521,false,Rx,0,6,00,08,F6,FF,FF,FF,00,00,
23217656,00000525,false,Rx,0,6,04,04,5F,00,00,00,00,00,
23344806,00000524,false,Rx,0,6,03,0E,F6,FF,FF,FF,00,00,
23623338,00000522,false,Rx,0,6,01,01,9B,B3,05,00,00,00,
23647637,00000528,false,Rx,0,6,07,0B,A6,1E,00,00,00,00,
23682213,00000526,false,Rx,0,6,05,0E,06,00,00,00,00,00,
23758612,00000521,false,Rx,0,6,00,09,F4,FF,FF,FF,00,00,
23758826,00000523,false,Rx,0,6,02,0E,F2,FF,FF,FF,00,00,
23770758,00000527,false,Rx,0,6,06,0B,B6,2A,01,00,00,00,
23904239,00000525,false,Rx,0,6,04,05,5F,00,00,00,00,00,
24012932,00000524,false,Rx,0,6,03,0F,ED,FF,FF,FF,00,00,
24255118,00000522,false,Rx,0,6,01,02,9B,B3,05,00,00,00,
24372198,00000521,false,Rx,0,6,00,0A,F6,FF,FF,FF,00,00,
24386699,00000526,false,Rx,0,6,05,0F,05,00,00,00,00,00,
24388927,00000528,false,Rx,0,6,07,0C,A6,1E,00,00,00,00,
24408542,00000523,false,Rx,0,6,02,0F,EE,FF,FF,FF,00,00,
24493387,00000527,false,Rx,0,6,06,0C,B6,2A,01,00,00,00,
24590226,00000525,false,Rx,0,6,04,06,5E,00,00,00,00,00,
24681054,00000524,false,Rx,0,6,03,00,F3,FF,FF,FF,00,00,
24886917,00000522,false,Rx,0,6,01,03,A6,B3,05,00,00,00,
24985824,00000521,false,Rx,0,6,00,0B,F6,FF,FF,FF,00,00,
25058503,00000523,false,Rx,0,6,02,00,EE,FF,FF,FF,00,00,
25091091,00000526,false,Rx,0,6,05,00,05,00,00,00,00,00,
25129211,00000528,false,Rx,0,6,07,0D,A6,1E,00,00,00,00,
