Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
73851328,00000526,false,Rx,0,6,05,0E,04,00,00,00,00,00,
73992277,00000525,false,Rx,0,6,04,0F,71,00,00,00,00,00,
74097185,00000524,false,Rx,0,6,03,00,EF,FF,FF,FF,00,00,
74165773,00000523,false,Rx,0,6,02,01,E6,FF,FF,FF,00,00,
74197038,00000521,false,Rx,0,6,00,03,F6,FF,FF,FF,00,00,
74198088,00000522,false,Rx,0,6,01,02,E0,A5,05,00,00,00,
74200151,00000528,false,Rx,0,6,07,0D,00,00,00,00,00,00,
74395858,00000527,false,Rx,0,6,06,0E,00,00,00,00,00,00,
74555326,00000526,false,Rx,0,6,05,0F,07,00,00,00,00,00,
74678288,00000525,false,Rx,0,6,04,00,71,00,00,00,00,00,
74765041,00000524,false,Rx,0,6,03,01,F8,FF,FF,FF,00,00,
74810415,00000521,false,Rx,0,6,00,04,F4,FF,FF,FF,00,00,
74816224,00000523,false,Rx,0,6,02,02,EF,FF,FF,FF,00,00,
74829577,00000522,false,Rx,0,6,01,03,D9,A5,05,00,00,00,
74940635,00000528,false,Rx,0,6,07,0E,00,00,00,00,00,00,
75118635,00000527,false,Rx,0,6,06,0F,00,00,00,00,00,00,
75259681,00000526,false,Rx,0,6,05,00,01,00,00,00,00,00,
75364292,00000525,false,Rx,0,6,04,01,71,00,00,00,00,00,
75423789,00000521,false,Rx,0,6,00,05,F4,FF,FF,FF,00,00,
75432881,00000524,false,Rx,0,6,03,02,F0,FF,FF,FF,00,00,
75461104,00000522,false,Rx,0,6,01,04,E0,A5,05,00,00,00,
75465157,00000523,false,Rx,0,6,02,03,EB,FF,FF,FF,00,00,
75681107,00000528,false,Rx,0,6,07,0F,00,00,00,00,00,00,
75840504,00000527,false,Rx,0,6,06,00,00,00,00,00,00,00,
75963900,00000526,false,Rx,0,6,05,01,06,00,00,00,00,00,
76037143,00000521,false,Rx,0,6,00,06,F3,FF,FF,FF,00,00,
76050290,00000525,false,Rx,0,6,04,02,71,00,00,00,00,00,
76092613,00000522,false,Rx,0,6,01,05,CF,A5,05,00,00,00,
76100712,00000524,false,Rx,0,6,03,03,F8,FF,FF,FF,00,00,
76114822,00000523,false,Rx,0,6,02,04,EB,FF,FF,FF,00,00,
76421575,00000528,false,Rx,0,6,07,00,00,00,00,00,00,00,
76562798,00000527,false,Rx,0,6,06,01,00,00,00,00,00,00,
76650502,00000521,false,Rx,0,6,00,07,F6,FF,FF,FF,00,00,
76667986,00000526,false,Rx,0,6,05,02,04,00,00,00,00,00,
76724143,00000522,false,Rx,0,6,01,06,D2,A5,05,00,00,00,
76736269,00000525,false,Rx,0,6,04,03,71,00,00,00,00,00,
76764499,00000523,false,Rx,0,6,02,05,EB,FF,FF,FF,00,00,
76768557,00000524,false,Rx,0,6,03,04,E5,FF,FF,FF,00,00,
77162024,00000528,false,Rx,0,6,07,01,00,00,00,00,00,00,
77263832,00000521,false,Rx,0,6,00,08,F7,FF,FF,FF,00,00,
77285090,00000527,false,Rx,0,6,06,02,00,00,00,00,00,00,
77355638,00000522,false,Rx,0,6,01,07,DC,A5,05,00,00,00,
77372120,00000526,false,Rx,0,6,05,03,04,00,00,00,00,00,
77414155,00000523,false,Rx,0,6,02,06,E1,FF,FF,FF,00,00,
77422235,00000525,false,Rx,0,6,04,04,71,00,00,00,00,00,
77436357,00000524,false,Rx,0,6,03,05,F3,FF,FF,FF,00,00,
77877179,00000521,false,Rx,0,6,00,09,F4,FF,FF,FF,00,00,
77902898,00000528,false,Rx,0,6,07,02,00,00,00,00,00,00,
77987132,00000522,false,Rx,0,6,01,08,E8,A5,05,00,00,00,
78007377,00000527,false,Rx,0,6,06,03,00,00,00,00,00,00,
78063805,00000523,false,Rx,0,6,02,07,E2,FF,FF,FF,00,00,
78076202,00000526,false,Rx,0,6,05,04,07,00,00,00,00,00,
78104171,00000524,false,Rx,0,6,03,06,F7,FF,FF,FF,00,00,
78108218,00000525,false,Rx,0,6,04,05,72,00,00,00,00,00,
78490520,00000521,false,Rx,0,6,00,0A,F4,FF,FF,FF,00,00,
78618633,00000522,false,Rx,0,6,01,09,DC,A5,05,00,00,00,
78642934,00000528,false,Rx,0,6,07,03,00,00,00,00,00,00,
78713495,00000523,false,Rx,0,6,02,08,E2,FF,FF,FF,00,00,
78729687,00000527,false,Rx,0,6,06,04,00,00,00,00,00,00,
78772008,00000524,false,Rx,0,6,03,07,E9,FF,FF,FF,00,00,
78780341,00000526,false,Rx,0,6,05,05,01,00,00,00,00,00,
78794213,00000525,false,Rx,0,6,04,06,71,00,00,00,00,00,
79103885,00000521,false,Rx,0,6,00,0B,F5,FF,FF,FF,00,00,
79250160,00000522,false,Rx,0,6,01,0A,D2,A5,05,00,00,00,
79363169,00000523,false,Rx,0,6,02,09,F6,FF,FF,FF,00,00,
79383420,00000528,false,Rx,0,6,07,04,00,00,00,00,00,00,
79439835,00000524,false,Rx,0,6,03,08,F4,FF,FF,FF,00,00,
79452016,00000527,false,Rx,0,6,06,05,00,00,00,00,00,00,
79480211,00000525,false,Rx,0,6,04,07,72,00,00,00,00,00,
79484543,00000526,false,Rx,0,6,05,06,0A,00,00,00,00,00,
79717277,00000521,false,Rx,0,6,00,0C,F6,FF,FF,FF,00,00,
79881680,00000522,false,Rx,0,6,01,0B,E2,A5,05,00,00,00,
80012836,00000523,false,Rx,0,6,02,0A,EF,FF,FF,FF,00,00,
80107681,00000524,false,Rx,0,6,03,09,EB,FF,FF,FF,00,00,
80123876,00000528,false,Rx,0,6,07,05,00,00,00,00,00,00,
80166191,00000525,false,Rx,0,6,04,08,71,00,00,00,00,00,
80174312,00000527,false,Rx,0,6,06,06,00,00,00,00,00,00,
80188503,00000526,false,Rx,0,6,05,07,03,00,00,00,00,00,
80330608,00000521,false,Rx,0,6,00,0D,FB,FF,FF,FF,00,00,
80513177,00000522,false,Rx,0,6,01,0C,E6,A5,05,00,00,00,
80662503,00000523,false,Rx,0,6,02,0B,EF,FF,FF,FF,00,00,
80775497,00000524,false,Rx,0,6,03,0A,EC,FF,FF,FF,00,00,
80852164,00000525,false,Rx,0,6,04,09,72,00,00,00,00,00,
80864328,00000528,false,Rx,0,6,07,06,00,00,00,00,00,00,
80892828,00000526,false,Rx,0,6,05,08,08,00,00,00,00,00,
80897058,00000527,false,Rx,0,6,06,07,00,00,00,00,00,00,
80944947,00000521,false,Rx,0,6,00,0E,F6,FF,FF,FF,00,00,
81144683,00000522,false,Rx,0,6,01,0D,E1,A5,05,00,00,00,
81313734,00000523,false,Rx,0,6,02,0C,00,00,00,00,00,00,
81443610,00000524,false,Rx,0,6,03,0B,EC,FF,FF,FF,00,00,
81538136,00000525,false,Rx,0,6,04,0A,71,00,00,00,00,00,
81558299,00000521,false,Rx,0,6,00,0F,F2,FF,FF,FF,00,00,
81596965,00000526,false,Rx,0,6,05,09,01,00,00,00,00,00,
81604786,00000528,false,Rx,0,6,07,07,00,00,00,00,00,00,
