Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
15044584,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15046437,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15046685,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15059221,00000521,false,Rx,0,6,00,08,F8,FF,FF,FF,00,00,
15076391,00000524,false,Rx,0,6,03,07,EE,FF,FF,FF,00,00,
15144581,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15146190,00000523,false,Rx,0,6,02,0C,E6,FF,FF,FF,00,00,
15146436,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15146925,00000523,false,Rx,0,6,02,0C,E6,FF,FF,FF,00,00,
15147170,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15147405,00000523,false,Rx,0,6,02,0C,E6,FF,FF,FF,00,00,
15251813,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15252058,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15252303,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15344574,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15346969,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15347214,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15396175,00000525,false,Rx,0,6,04,09,71,00,00,00,00,00,
15447630,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15449877,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15450147,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15503607,00000528,false,Rx,0,6,07,07,E7,2B,00,00,00,00,
15545136,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15545401,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15545667,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15612021,00000522,false,Rx,0,6,01,07,B6,A5,05,00,00,00,
15644569,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15644832,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15645096,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15672543,00000521,false,Rx,0,6,00,09,F4,FF,FF,FF,00,00,
15703197,00000527,false,Rx,0,6,06,02,9C,AE,01,00,00,00,
15729425,00000526,false,Rx,0,6,05,0D,05,00,00,00,00,00,
15744185,00000524,false,Rx,0,6,03,08,06,00,00,00,00,00,
15749780,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15750033,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15750279,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15796995,00000523,false,Rx,0,6,02,0D,E6,FF,FF,FF,00,00,
15797235,00000523,false,Rx,0,6,02,0D,E6,FF,FF,FF,00,00,
15797468,00000523,false,Rx,0,6,02,0D,E6,FF,FF,FF,00,00,
15844570,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15844812,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15845066,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15944565,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15944811,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15945059,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16044564,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16044809,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16045057,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16082145,00000525,false,Rx,0,6,04,0A,70,00,00,00,00,00,
16144558,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16144810,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16145059,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16244100,00000522,false,Rx,0,6,01,08,B2,A5,05,00,00,00,
16244328,00000522,false,Rx,0,6,01,08,B2,A5,05,00,00,00,
16244576,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16244828,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16245076,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16245305,00000522,false,Rx,0,6,01,08,B2,A5,05,00,00,00,
16245522,00000528,false,Rx,0,6,07,08,E7,2B,00,00,00,00,
16285894,00000521,false,Rx,0,6,00,0A,F5,FF,FF,FF,00,00,
16286128,00000521,false,Rx,0,6,00,0A,F5,FF,FF,FF,00,00,
16286362,00000521,false,Rx,0,6,00,0A,F5,FF,FF,FF,00,00,
16286597,00000521,false,Rx,0,6,00,0A,F5,FF,FF,FF,00,00,
16344556,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16344802,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16345050,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16412014,00000524,false,Rx,0,6,03,09,F7,FF,FF,FF,00,00,
16425177,00000527,false,Rx,0,6,06,03,9C,AE,01,00,00,00,
16433525,00000526,false,Rx,0,6,05,0E,04,00,00,00,00,00,
16444549,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16444801,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16445049,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16445297,00000523,false,Rx,0,6,02,0E,F7,FF,FF,FF,00,00,
16445531,00000523,false,Rx,0,6,02,0E,F7,FF,FF,FF,00,00,
16445764,00000523,false,Rx,0,6,02,0E,F7,FF,FF,FF,00,00,
16445997,00000523,false,Rx,0,6,02,0E,F7,FF,FF,FF,00,00,
16446236,00000523,false,Rx,0,6,02,0E,F7,FF,FF,FF,00,00,
16446470,00000523,false,Rx,0,6,02,0E,F7,FF,FF,FF,00,00,
16446705,00000523,false,Rx,0,6,02,0E,F7,FF,FF,FF,00,00,
16544553,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16544798,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16545051,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16644546,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16644798,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16645044,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16745607,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16745859,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16746105,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16768124,00000525,false,Rx,0,6,04,0B,70,00,00,00,00,00,
16846408,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16846652,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16846904,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16875033,00000522,false,Rx,0,6,01,09,BF,A5,05,00,00,00,
16899236,00000521,false,Rx,0,6,00,0B,F4,FF,FF,FF,00,00,
16944543,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16947615,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16947878,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16984051,00000528,false,Rx,0,6,07,09,E7,2B,00,00,00,00,
17053325,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17053568,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17053821,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17079830,00000524,false,Rx,0,6,03,0A,F7,FF,FF,FF,00,00,
17094961,00000523,false,Rx,0,6,02,0F,F1,FF,FF,FF,00,00,
17137652,00000526,false,Rx,0,6,05,0F,09,00,00,00,00,00,
17144540,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17147807,00000527,false,Rx,0,6,06,04,9C,AE,01,00,00,00,
17148059,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17148542,00000527,false,Rx,0,6,06,04,9C,AE,01,00,00,00,
17148787,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17149015,00000527,false,Rx,0,6,06,04,9C,AE,01,00,00,00,
17252507,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17252747,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17252993,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17344534,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17347845,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17348109,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17445944,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17446204,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17446469,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17454111,00000525,false,Rx,0,6,04,0C,70,00,00,00,00,00,
17506536,00000522,false,Rx,0,6,01,0A,B2,A5,05,00,00,00,
17512581,00000521,false,Rx,0,6,00,0C,F4,FF,FF,FF,00,00,
17549026,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17551150,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17551397,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17644530,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17645847,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17646098,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17727360,00000528,false,Rx,0,6,07,0A,E7,2B,00,00,00,00,
17727589,00000528,false,Rx,0,6,07,0A,E7,2B,00,00,00,00,
17744527,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17744772,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17745024,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17745239,00000523,false,Rx,0,6,02,00,F1,FF,FF,FF,00,00,
17747657,00000524,false,Rx,0,6,03,0B,EE,FF,FF,FF,00,00,
17841805,00000526,false,Rx,0,6,05,00,05,00,00,00,00,00,
17844523,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17844775,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17845021,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
17869771,00000527,false,Rx,0,6,06,05,9C,AE,01,00,00,00,
17944525,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
17944770,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17945023,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
18044525,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
18044771,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18045018,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
18125937,00000521,false,Rx,0,6,00,0D,F3,FF,FF,FF,00,00,
18138032,00000522,false,Rx,0,6,01,0B,B3,A5,05,00,00,00,
18138260,00000522,false,Rx,0,6,01,0B,B3,A5,05,00,00,00,
18140094,00000525,false,Rx,0,6,04,0D,71,00,00,00,00,00,
18144524,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
18144763,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18145015,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
18244518,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
18244765,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
