Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4050352,00000523,false,Rx,0,6,02,0B,ED,FF,FF,FF,00,00,
4152748,00000522,false,Rx,0,6,01,01,CB,C1,05,00,00,00,
4348080,00000527,false,Rx,0,6,06,07,12,00,00,00,00,00,
4396315,00000524,false,Rx,0,6,03,06,E4,FF,FF,FF,00,00,
4545583,00000526,false,Rx,0,6,05,0C,09,00,00,00,00,00,
4561398,00000525,false,Rx,0,6,04,01,C3,00,00,00,00,00,
4662017,00000521,false,Rx,0,6,00,08,12,00,00,00,00,00,
4698258,00000523,false,Rx,0,6,02,0C,ED,FF,FF,FF,00,00,
4708390,00000528,false,Rx,0,6,07,03,01,00,00,00,00,00,
4782789,00000522,false,Rx,0,6,01,02,D0,C1,05,00,00,00,
5062598,00000524,false,Rx,0,6,03,07,FE,FF,FF,FF,00,00,
5068682,00000527,false,Rx,0,6,06,08,12,00,00,00,00,00,
5245769,00000525,false,Rx,0,6,04,02,C2,00,00,00,00,00,
5247914,00000526,false,Rx,0,6,05,0D,01,00,00,00,00,00,
5274934,00000521,false,Rx,0,6,00,09,00,00,00,00,00,00,
5346402,00000523,false,Rx,0,6,02,0D,ED,FF,FF,FF,00,00,
5413401,00000522,false,Rx,0,6,01,03,D7,C1,05,00,00,00,
5447116,00000528,false,Rx,0,6,07,04,01,00,00,00,00,00,
5728860,00000524,false,Rx,0,6,03,08,E9,FF,FF,FF,00,00,
5789298,00000527,false,Rx,0,6,06,09,12,00,00,00,00,00,
5887850,00000521,false,Rx,0,6,00,0A,0E,00,00,00,00,00,
5930159,00000525,false,Rx,0,6,04,03,C2,00,00,00,00,00,
5950596,00000526,false,Rx,0,6,05,0E,FF,FF,FF,FF,00,00,
5994547,00000523,false,Rx,0,6,02,0E,E8,FF,FF,FF,00,00,
6042834,00000522,false,Rx,0,6,01,04,D5,C1,05,00,00,00,
6185838,00000528,false,Rx,0,6,07,05,01,00,00,00,00,00,
6395115,00000524,false,Rx,0,6,03,09,EC,FF,FF,FF,00,00,
6500341,00000521,false,Rx,0,6,00,0B,10,00,00,00,00,00,
6509907,00000527,false,Rx,0,6,06,0A,12,00,00,00,00,00,
6614538,00000525,false,Rx,0,6,04,04,C2,00,00,00,00,00,
6642699,00000523,false,Rx,0,6,02,0F,F4,FF,FF,FF,00,00,
6653086,00000526,false,Rx,0,6,05,0F,08,00,00,00,00,00,
6672884,00000522,false,Rx,0,6,01,05,DB,C1,05,00,00,00,
6924588,00000528,false,Rx,0,6,07,06,01,00,00,00,00,00,
7061390,00000524,false,Rx,0,6,03,0A,F4,FF,FF,FF,00,00,
7112704,00000521,false,Rx,0,6,00,0C,03,00,00,00,00,00,
7230532,00000527,false,Rx,0,6,06,0B,12,00,00,00,00,00,
7290850,00000523,false,Rx,0,6,02,00,F4,FF,FF,FF,00,00,
7298917,00000525,false,Rx,0,6,04,05,C3,00,00,00,00,00,
7302926,00000522,false,Rx,0,6,01,06,D9,C1,05,00,00,00,
7355301,00000526,false,Rx,0,6,05,00,00,00,00,00,00,00,
7663314,00000528,false,Rx,0,6,07,07,01,00,00,00,00,00,
7724618,00000521,false,Rx,0,6,00,0D,05,00,00,00,00,00,
7727656,00000524,false,Rx,0,6,03,0B,EF,FF,FF,FF,00,00,
7932953,00000522,false,Rx,0,6,01,07,CD,C1,05,00,00,00,
7939014,00000523,false,Rx,0,6,02,01,F7,FF,FF,FF,00,00,
7951146,00000527,false,Rx,0,6,06,0C,12,00,00,00,00,00,
7983298,00000525,false,Rx,0,6,04,06,C3,00,00,00,00,00,
8058050,00000526,false,Rx,0,6,05,01,11,00,00,00,00,00,
8336526,00000521,false,Rx,0,6,00,0E,03,00,00,00,00,00,
8393906,00000524,false,Rx,0,6,03,0C,F0,FF,FF,FF,00,00,
8402024,00000528,false,Rx,0,6,07,08,01,00,00,00,00,00,
8562975,00000522,false,Rx,0,6,01,08,D5,C1,05,00,00,00,
8587144,00000523,false,Rx,0,6,02,02,F8,FF,FF,FF,00,00,
