Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4898317,00000528,false,Rx,0,6,07,03,21,1C,00,00,00,00,
4952519,00000525,false,Rx,0,6,04,02,1E,01,00,00,00,00,
4958864,00000526,false,Rx,0,6,05,07,A9,00,00,00,00,00,
5110195,00000521,false,Rx,0,6,00,06,3F,FE,FF,FF,00,00,
5153407,00000524,false,Rx,0,6,03,04,F0,FF,FF,FF,00,00,
5181536,00000523,false,Rx,0,6,02,0D,F3,FF,FF,FF,00,00,
5286387,00000522,false,Rx,0,6,01,0E,E7,C8,05,00,00,00,
5551258,00000527,false,Rx,0,6,06,03,9D,0C,01,00,00,00,
5635885,00000525,false,Rx,0,6,04,03,1E,01,00,00,00,00,
5636116,00000528,false,Rx,0,6,07,04,21,1C,00,00,00,00,
5659980,00000526,false,Rx,0,6,05,08,A6,00,00,00,00,00,
5720952,00000521,false,Rx,0,6,00,07,40,FE,FF,FF,00,00,
5818402,00000524,false,Rx,0,6,03,05,F3,FF,FF,FF,00,00,
5828726,00000523,false,Rx,0,6,02,0E,F3,FF,FF,FF,00,00,
5914817,00000522,false,Rx,0,6,01,0F,E9,C8,05,00,00,00,
6270496,00000527,false,Rx,0,6,06,04,9D,0C,01,00,00,00,
6318672,00000525,false,Rx,0,6,04,04,1E,01,00,00,00,00,
6331996,00000521,false,Rx,0,6,00,08,3E,FE,FF,FF,00,00,
6360980,00000526,false,Rx,0,6,05,09,AC,00,00,00,00,00,
6373139,00000528,false,Rx,0,6,07,05,21,1C,00,00,00,00,
6475349,00000523,false,Rx,0,6,02,0F,EE,FF,FF,FF,00,00,
6483386,00000524,false,Rx,0,6,03,06,EE,FF,FF,FF,00,00,
6543648,00000522,false,Rx,0,6,01,00,EE,C8,05,00,00,00,
6942449,00000521,false,Rx,0,6,00,09,45,FE,FF,FF,00,00,
6989975,00000527,false,Rx,0,6,06,05,9E,0C,01,00,00,00,
7001738,00000525,false,Rx,0,6,04,05,1E,01,00,00,00,00,
7062310,00000526,false,Rx,0,6,05,0A,AF,00,00,00,00,00,
7110270,00000528,false,Rx,0,6,07,06,21,1C,00,00,00,00,
7122255,00000523,false,Rx,0,6,02,00,F0,FF,FF,FF,00,00,
7148391,00000524,false,Rx,0,6,03,07,F3,FF,FF,FF,00,00,
7172474,00000522,false,Rx,0,6,01,01,F0,C8,05,00,00,00,
7553187,00000521,false,Rx,0,6,00,0A,3F,FE,FF,FF,00,00,
7684812,00000525,false,Rx,0,6,04,06,1E,01,00,00,00,00,
7709187,00000527,false,Rx,0,6,06,06,9E,0C,01,00,00,00,
7763296,00000526,false,Rx,0,6,05,0B,AA,00,00,00,00,00,
7769181,00000523,false,Rx,0,6,02,01,F0,FF,FF,FF,00,00,
7801310,00000522,false,Rx,0,6,01,02,F2,C8,05,00,00,00,
7813389,00000524,false,Rx,0,6,03,08,F9,FF,FF,FF,00,00,
7847592,00000528,false,Rx,0,6,07,07,21,1C,00,00,00,00,
3423468,00000521,false,Rx,0,6,00,0B,46,FE,FF,FF,00,00,
3627421,00000525,false,Rx,0,6,04,07,1E,01,00,00,00,00,
3675613,00000523,false,Rx,0,6,02,02,F7,FF,FF,FF,00,00,
3687988,00000527,false,Rx,0,6,06,07,9E,0C,01,00,00,00,
3689670,00000522,false,Rx,0,6,01,03,ED,C8,05,00,00,00,
3724163,00000526,false,Rx,0,6,05,0C,9F,00,00,00,00,00,
3737907,00000524,false,Rx,0,6,03,09,F1,FF,FF,FF,00,00,
3844462,00000528,false,Rx,0,6,07,08,21,1C,00,00,00,00,
4034235,00000521,false,Rx,0,6,00,0C,47,FE,FF,FF,00,00,
4310516,00000525,false,Rx,0,6,04,08,1F,01,00,00,00,00,
4318526,00000522,false,Rx,0,6,01,04,F2,C8,05,00,00,00,
4322555,00000523,false,Rx,0,6,02,03,F0,FF,FF,FF,00,00,
4403204,00000524,false,Rx,0,6,03,0A,EB,FF,FF,FF,00,00,
4406996,00000527,false,Rx,0,6,06,08,9F,0C,01,00,00,00,
