Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4858169,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
4927997,00000528,false,Rx,0,6,07,0D,03,26,00,00,00,00,
4938010,00000523,false,Rx,0,6,02,0C,E3,FF,FF,FF,00,00,
4948097,00000521,false,Rx,0,6,00,09,F7,FF,FF,FF,00,00,
4957667,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
4957919,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
4958170,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5057666,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5057912,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
5058186,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5087414,00000527,false,Rx,0,6,06,0B,B8,73,01,00,00,00,
5157667,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5157912,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
5158166,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5257664,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5257910,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
5258171,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5285415,00000525,false,Rx,0,6,04,05,65,00,00,00,00,00,
5317721,00000522,false,Rx,0,6,01,04,F6,AD,05,00,00,00,
5357659,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5357911,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
5358165,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5363859,00000524,false,Rx,0,6,03,02,F3,FF,FF,FF,00,00,
5388216,00000526,false,Rx,0,6,05,03,04,00,00,00,00,00,
5457655,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5457908,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
5458153,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
5557667,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
5557907,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
