Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5908156,00000523,false,Rx,0,6,02,09,F6,FF,FF,FF,00,00,
5962791,00000526,false,Rx,0,6,05,01,07,00,00,00,00,00,
5988856,00000522,false,Rx,0,6,01,0A,C6,AC,05,00,00,00,
6021231,00000528,false,Rx,0,6,07,06,05,26,00,00,00,00,
6182670,00000527,false,Rx,0,6,06,0F,CA,73,01,00,00,00,
6184620,00000521,false,Rx,0,6,00,09,F4,FF,FF,FF,00,00,
6219304,00000524,false,Rx,0,6,03,05,E6,FF,FF,FF,00,00,
6243177,00000525,false,Rx,0,6,04,0E,66,00,00,00,00,00,
6558557,00000523,false,Rx,0,6,02,0A,E0,FF,FF,FF,00,00,
6620566,00000522,false,Rx,0,6,01,0B,D1,AC,05,00,00,00,
6667291,00000526,false,Rx,0,6,05,02,FF,FF,FF,FF,00,00,
6761887,00000528,false,Rx,0,6,07,07,05,26,00,00,00,00,
6798132,00000521,false,Rx,0,6,00,0A,F5,FF,FF,FF,00,00,
6886936,00000524,false,Rx,0,6,03,06,F7,FF,FF,FF,00,00,
6905169,00000527,false,Rx,0,6,06,00,CA,73,01,00,00,00,
6929344,00000525,false,Rx,0,6,04,0F,66,00,00,00,00,00,
7207818,00000523,false,Rx,0,6,02,0B,E7,FF,FF,FF,00,00,
7252190,00000522,false,Rx,0,6,01,0C,CE,AC,05,00,00,00,
7371611,00000526,false,Rx,0,6,05,03,05,00,00,00,00,00,
7411620,00000521,false,Rx,0,6,00,0B,F8,FF,FF,FF,00,00,
7502525,00000528,false,Rx,0,6,07,08,05,26,00,00,00,00,
7554936,00000524,false,Rx,0,6,03,07,F8,FF,FF,FF,00,00,
7615485,00000525,false,Rx,0,6,04,00,66,00,00,00,00,00,
7627637,00000527,false,Rx,0,6,06,01,CA,73,01,00,00,00,
7857636,00000523,false,Rx,0,6,02,0C,E7,FF,FF,FF,00,00,
7883850,00000522,false,Rx,0,6,01,0D,CE,AC,05,00,00,00,
8025433,00000521,false,Rx,0,6,00,0C,FD,FF,FF,FF,00,00,
8075657,00000526,false,Rx,0,6,05,04,05,00,00,00,00,00,
8223412,00000524,false,Rx,0,6,03,08,F2,FF,FF,FF,00,00,
8243171,00000528,false,Rx,0,6,07,09,05,26,00,00,00,00,
8301637,00000525,false,Rx,0,6,04,01,66,00,00,00,00,00,
8350107,00000527,false,Rx,0,6,06,02,CA,73,01,00,00,00,
8507466,00000523,false,Rx,0,6,02,0D,EA,FF,FF,FF,00,00,
8515522,00000522,false,Rx,0,6,01,0E,D9,AC,05,00,00,00,
8638637,00000521,false,Rx,0,6,00,0D,F6,FF,FF,FF,00,00,
8780056,00000526,false,Rx,0,6,05,05,00,00,00,00,00,00,
8890941,00000524,false,Rx,0,6,03,09,F0,FF,FF,FF,00,00,
8983830,00000528,false,Rx,0,6,07,0A,05,26,00,00,00,00,
8987819,00000525,false,Rx,0,6,04,02,66,00,00,00,00,00,
9072626,00000527,false,Rx,0,6,06,03,CA,73,01,00,00,00,
9147224,00000522,false,Rx,0,6,01,0F,C2,AC,05,00,00,00,
9157328,00000523,false,Rx,0,6,02,0E,F9,FF,FF,FF,00,00,
9252676,00000521,false,Rx,0,6,00,0E,FD,FF,FF,FF,00,00,
9484569,00000526,false,Rx,0,6,05,06,07,00,00,00,00,00,
9558937,00000524,false,Rx,0,6,03,0A,E9,FF,FF,FF,00,00,
9673981,00000525,false,Rx,0,6,04,03,66,00,00,00,00,00,
9724488,00000528,false,Rx,0,6,07,0B,05,26,00,00,00,00,
9778895,00000522,false,Rx,0,6,01,00,CE,AC,05,00,00,00,
9795116,00000527,false,Rx,0,6,06,04,CA,73,01,00,00,00,
9807175,00000523,false,Rx,0,6,02,0F,F9,FF,FF,FF,00,00,
9865675,00000521,false,Rx,0,6,00,0F,F8,FF,FF,FF,00,00,
10188730,00000526,false,Rx,0,6,05,07,06,00,00,00,00,00,
10226949,00000524,false,Rx,0,6,03,0B,E3,FF,FF,FF,00,00,
10360153,00000525,false,Rx,0,6,04,04,66,00,00,00,00,00,
10410580,00000522,false,Rx,0,6,01,01,D2,AC,05,00,00,00,
10457013,00000523,false,Rx,0,6,02,00,E0,FF,FF,FF,00,00,
10465155,00000528,false,Rx,0,6,07,0C,05,26,00,00,00,00,
10479186,00000521,false,Rx,0,6,00,00,FA,FF,FF,FF,00,00,
10517613,00000527,false,Rx,0,6,06,05,CA,73,01,00,00,00,
10892976,00000526,false,Rx,0,6,05,08,00,00,00,00,00,00,
10894952,00000524,false,Rx,0,6,03,0C,F0,FF,FF,FF,00,00,
11042260,00000522,false,Rx,0,6,01,02,EA,AC,05,00,00,00,
11046323,00000525,false,Rx,0,6,04,05,66,00,00,00,00,00,
11092712,00000521,false,Rx,0,6,00,01,F9,FF,FF,FF,00,00,
