Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9061530,00000528,false,Rx,0,6,07,09,1D,07,00,00,00,00,
9112771,00000521,false,Rx,0,6,00,03,07,00,00,00,00,00,
9168159,00000522,false,Rx,0,6,01,0C,25,B5,05,00,00,00,
9305004,00000523,false,Rx,0,6,02,08,EC,FF,FF,FF,00,00,
9401642,00000525,false,Rx,0,6,04,08,C4,00,00,00,00,00,
9556618,00000524,false,Rx,0,6,03,07,F7,FF,FF,FF,00,00,
9651772,00000526,false,Rx,0,6,05,0C,07,00,00,00,00,00,
9724684,00000521,false,Rx,0,6,00,04,09,00,00,00,00,00,
9747901,00000527,false,Rx,0,6,06,02,EF,45,00,00,00,00,
9798147,00000522,false,Rx,0,6,01,0D,22,B5,05,00,00,00,
9800246,00000528,false,Rx,0,6,07,0A,1D,07,00,00,00,00,
9953168,00000523,false,Rx,0,6,02,09,EB,FF,FF,FF,00,00,
10086006,00000525,false,Rx,0,6,04,09,C4,00,00,00,00,00,
10222875,00000524,false,Rx,0,6,03,08,FC,FF,FF,FF,00,00,
10336577,00000521,false,Rx,0,6,00,05,08,00,00,00,00,00,
10354005,00000526,false,Rx,0,6,05,0D,02,00,00,00,00,00,
10428164,00000522,false,Rx,0,6,01,0E,20,B5,05,00,00,00,
10468499,00000527,false,Rx,0,6,06,03,EF,45,00,00,00,00,
10539207,00000528,false,Rx,0,6,07,0B,1D,07,00,00,00,00,
10601273,00000523,false,Rx,0,6,02,0A,E2,FF,FF,FF,00,00,
10770373,00000525,false,Rx,0,6,04,0A,C4,00,00,00,00,00,
10889107,00000524,false,Rx,0,6,03,09,FA,FF,FF,FF,00,00,
10948480,00000521,false,Rx,0,6,00,06,07,00,00,00,00,00,
11056317,00000526,false,Rx,0,6,05,0E,08,00,00,00,00,00,
11058177,00000522,false,Rx,0,6,01,0F,29,B5,05,00,00,00,
11189157,00000527,false,Rx,0,6,06,04,EF,45,00,00,00,00,
11249412,00000523,false,Rx,0,6,02,0B,E2,FF,FF,FF,00,00,
11277659,00000528,false,Rx,0,6,07,0C,1D,07,00,00,00,00,
11454728,00000525,false,Rx,0,6,04,0B,C4,00,00,00,00,00,
11555359,00000524,false,Rx,0,6,03,0A,F0,FF,FF,FF,00,00,
11560393,00000521,false,Rx,0,6,00,07,06,00,00,00,00,00,
11688195,00000522,false,Rx,0,6,01,00,1B,B5,05,00,00,00,
11758979,00000526,false,Rx,0,6,05,0F,00,00,00,00,00,00,
11897536,00000523,false,Rx,0,6,02,0C,E9,FF,FF,FF,00,00,
11909681,00000527,false,Rx,0,6,06,05,EF,45,00,00,00,00,
12016366,00000528,false,Rx,0,6,07,0D,1D,07,00,00,00,00,
12139089,00000525,false,Rx,0,6,04,0C,C5,00,00,00,00,00,
12172315,00000521,false,Rx,0,6,00,08,0E,00,00,00,00,00,
12221605,00000524,false,Rx,0,6,03,0B,F4,FF,FF,FF,00,00,
