Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6078097,00000528,false,Rx,0,6,07,0B,67,0D,00,00,00,00,
6192916,00000526,false,Rx,0,6,05,06,0A,00,00,00,00,00,
6202850,00000524,false,Rx,0,6,03,09,ED,FF,FF,FF,00,00,
6220949,00000523,false,Rx,0,6,02,06,F8,FF,FF,FF,00,00,
6285362,00000521,false,Rx,0,6,00,08,05,00,00,00,00,00,
6454552,00000527,false,Rx,0,6,06,00,05,81,00,00,00,00,
6499011,00000522,false,Rx,0,6,01,06,05,D6,05,00,00,00,
6607498,00000525,false,Rx,0,6,04,0F,BB,00,00,00,00,00,
6816906,00000528,false,Rx,0,6,07,0C,67,0D,00,00,00,00,
6869224,00000523,false,Rx,0,6,02,07,F9,FF,FF,FF,00,00,
6869452,00000524,false,Rx,0,6,03,0A,F9,FF,FF,FF,00,00,
6895671,00000526,false,Rx,0,6,05,07,03,00,00,00,00,00,
6897350,00000521,false,Rx,0,6,00,09,03,00,00,00,00,00,
7128860,00000522,false,Rx,0,6,01,07,06,D6,05,00,00,00,
7175245,00000527,false,Rx,0,6,06,01,05,81,00,00,00,00,
7291956,00000525,false,Rx,0,6,04,00,BA,00,00,00,00,00,
7509335,00000521,false,Rx,0,6,00,0A,10,00,00,00,00,00,
7517390,00000523,false,Rx,0,6,02,08,EB,FF,FF,FF,00,00,
7535516,00000524,false,Rx,0,6,03,0B,EF,FF,FF,FF,00,00,
7556119,00000528,false,Rx,0,6,07,0D,67,0D,00,00,00,00,
7598059,00000526,false,Rx,0,6,05,08,09,00,00,00,00,00,
7758954,00000522,false,Rx,0,6,01,08,02,D6,05,00,00,00,
7895923,00000527,false,Rx,0,6,06,02,05,81,00,00,00,00,
7976401,00000525,false,Rx,0,6,04,01,BB,00,00,00,00,00,
8121303,00000521,false,Rx,0,6,00,0B,07,00,00,00,00,00,
8165605,00000523,false,Rx,0,6,02,09,EB,FF,FF,FF,00,00,
8201844,00000524,false,Rx,0,6,03,0C,E7,FF,FF,FF,00,00,
8294586,00000528,false,Rx,0,6,07,0E,67,0D,00,00,00,00,
8300820,00000526,false,Rx,0,6,05,09,04,00,00,00,00,00,
8389056,00000522,false,Rx,0,6,01,09,07,D6,05,00,00,00,
8616603,00000527,false,Rx,0,6,06,03,05,81,00,00,00,00,
8660842,00000525,false,Rx,0,6,04,02,BB,00,00,00,00,00,
8733529,00000521,false,Rx,0,6,00,0C,0A,00,00,00,00,00,
8813806,00000523,false,Rx,0,6,02,0A,F7,FF,FF,FF,00,00,
8868184,00000524,false,Rx,0,6,03,0D,F7,FF,FF,FF,00,00,
9003366,00000526,false,Rx,0,6,05,0A,01,00,00,00,00,00,
9019134,00000522,false,Rx,0,6,01,0A,0C,D6,05,00,00,00,
9033308,00000528,false,Rx,0,6,07,0F,67,0D,00,00,00,00,
9337356,00000527,false,Rx,0,6,06,04,05,81,00,00,00,00,
9345368,00000521,false,Rx,0,6,00,0D,09,00,00,00,00,00,
9345590,00000525,false,Rx,0,6,04,03,BA,00,00,00,00,00,
9462021,00000523,false,Rx,0,6,02,0B,EB,FF,FF,FF,00,00,
9534501,00000524,false,Rx,0,6,03,0E,F5,FF,FF,FF,00,00,
9649228,00000522,false,Rx,0,6,01,0B,0B,D6,05,00,00,00,
9705899,00000526,false,Rx,0,6,05,0B,07,00,00,00,00,00,
9772110,00000528,false,Rx,0,6,07,00,67,0D,00,00,00,00,
9957222,00000521,false,Rx,0,6,00,0E,07,00,00,00,00,00,
10029720,00000525,false,Rx,0,6,04,04,BB,00,00,00,00,00,
10058035,00000527,false,Rx,0,6,06,05,05,81,00,00,00,00,
10110239,00000523,false,Rx,0,6,02,0C,EB,FF,FF,FF,00,00,
10200839,00000524,false,Rx,0,6,03,0F,FB,FF,FF,FF,00,00,
10279344,00000522,false,Rx,0,6,01,0C,0B,D6,05,00,00,00,
10408328,00000526,false,Rx,0,6,05,0C,01,00,00,00,00,00,
10510922,00000528,false,Rx,0,6,07,01,67,0D,00,00,00,00,
10569224,00000521,false,Rx,0,6,00,0F,05,00,00,00,00,00,
10714188,00000525,false,Rx,0,6,04,05,BB,00,00,00,00,00,
10758468,00000523,false,Rx,0,6,02,0D,FA,FF,FF,FF,00,00,
10778664,00000527,false,Rx,0,6,06,06,05,81,00,00,00,00,
10867180,00000524,false,Rx,0,6,03,00,F7,FF,FF,FF,00,00,
10909438,00000522,false,Rx,0,6,01,0D,07,D6,05,00,00,00,
11111054,00000526,false,Rx,0,6,05,0D,00,00,00,00,00,00,
11181206,00000521,false,Rx,0,6,00,00,0C,00,00,00,00,00,
11249719,00000528,false,Rx,0,6,07,02,67,0D,00,00,00,00,
11398658,00000525,false,Rx,0,6,04,06,BB,00,00,00,00,00,
11406671,00000523,false,Rx,0,6,02,0E,ED,FF,FF,FF,00,00,
11499409,00000527,false,Rx,0,6,06,07,05,81,00,00,00,00,
11533507,00000524,false,Rx,0,6,03,01,EE,FF,FF,FF,00,00,
11539529,00000522,false,Rx,0,6,01,0E,0B,D6,05,00,00,00,
11793165,00000521,false,Rx,0,6,00,01,0C,00,00,00,00,00,
11813459,00000526,false,Rx,0,6,05,0E,05,00,00,00,00,00,
11988514,00000528,false,Rx,0,6,07,03,67,0D,00,00,00,00,
12054886,00000523,false,Rx,0,6,02,0F,ED,FF,FF,FF,00,00,
12083081,00000525,false,Rx,0,6,04,07,BB,00,00,00,00,00,
12169604,00000522,false,Rx,0,6,01,0F,0A,D6,05,00,00,00,
12199826,00000524,false,Rx,0,6,03,02,ED,FF,FF,FF,00,00,
12220015,00000527,false,Rx,0,6,06,08,05,81,00,00,00,00,
12405132,00000521,false,Rx,0,6,00,02,0A,00,00,00,00,00,
12516199,00000526,false,Rx,0,6,05,0F,04,00,00,00,00,00,
12703087,00000523,false,Rx,0,6,02,00,FB,FF,FF,FF,00,00,
12727300,00000528,false,Rx,0,6,07,04,67,0D,00,00,00,00,
12767519,00000525,false,Rx,0,6,04,08,BB,00,00,00,00,00,
12799697,00000522,false,Rx,0,6,01,00,12,D6,05,00,00,00,
12866144,00000524,false,Rx,0,6,03,03,F0,FF,FF,FF,00,00,
12940683,00000527,false,Rx,0,6,06,09,05,81,00,00,00,00,
13017115,00000521,false,Rx,0,6,00,03,08,00,00,00,00,00,
13218763,00000526,false,Rx,0,6,05,00,FF,FF,FF,FF,00,00,
13351294,00000523,false,Rx,0,6,02,01,E2,FF,FF,FF,00,00,
13429791,00000522,false,Rx,0,6,01,01,22,D6,05,00,00,00,
13451960,00000525,false,Rx,0,6,04,09,BB,00,00,00,00,00,
13466103,00000528,false,Rx,0,6,07,05,67,0D,00,00,00,00,
13532485,00000524,false,Rx,0,6,03,04,E9,FF,FF,FF,00,00,
13629098,00000521,false,Rx,0,6,00,04,08,00,00,00,00,00,
13661368,00000527,false,Rx,0,6,06,0A,05,81,00,00,00,00,
13921538,00000526,false,Rx,0,6,05,01,02,00,00,00,00,00,
13999522,00000523,false,Rx,0,6,02,02,E2,FF,FF,FF,00,00,
14059895,00000522,false,Rx,0,6,01,02,27,D6,05,00,00,00,
14136431,00000525,false,Rx,0,6,04,0A,BB,00,00,00,00,00,
14199153,00000524,false,Rx,0,6,03,05,F5,FF,FF,FF,00,00,
14204922,00000528,false,Rx,0,6,07,06,67,0D,00,00,00,00,
14241073,00000521,false,Rx,0,6,00,05,10,00,00,00,00,00,
14382147,00000527,false,Rx,0,6,06,0B,05,81,00,00,00,00,
14623709,00000526,false,Rx,0,6,05,02,04,00,00,00,00,00,
14647726,00000523,false,Rx,0,6,02,03,EA,FF,FF,FF,00,00,
14689982,00000522,false,Rx,0,6,01,03,23,D6,05,00,00,00,
14820874,00000525,false,Rx,0,6,04,0B,BB,00,00,00,00,00,
14853047,00000521,false,Rx,0,6,00,06,08,00,00,00,00,00,
14865149,00000524,false,Rx,0,6,03,06,FA,FF,FF,FF,00,00,
14943724,00000528,false,Rx,0,6,07,07,67,0D,00,00,00,00,
15102764,00000527,false,Rx,0,6,06,0C,05,81,00,00,00,00,
15295950,00000523,false,Rx,0,6,02,04,F5,FF,FF,FF,00,00,
15320107,00000522,false,Rx,0,6,01,04,17,D6,05,00,00,00,
15326469,00000526,false,Rx,0,6,05,03,02,00,00,00,00,00,
15465034,00000521,false,Rx,0,6,00,07,06,00,00,00,00,00,
15505327,00000525,false,Rx,0,6,04,0C,BA,00,00,00,00,00,
15531486,00000524,false,Rx,0,6,03,07,F4,FF,FF,FF,00,00,
15682531,00000528,false,Rx,0,6,07,08,67,0D,00,00,00,00,
15823455,00000527,false,Rx,0,6,06,0D,05,81,00,00,00,00,
15944163,00000523,false,Rx,0,6,02,05,F5,FF,FF,FF,00,00,
15950706,00000522,false,Rx,0,6,01,05,16,D6,05,00,00,00,
16028870,00000526,false,Rx,0,6,05,04,02,00,00,00,00,00,
16077021,00000521,false,Rx,0,6,00,08,04,00,00,00,00,00,
16189789,00000525,false,Rx,0,6,04,0D,BB,00,00,00,00,00,
16197831,00000524,false,Rx,0,6,03,08,F2,FF,FF,FF,00,00,
16421349,00000528,false,Rx,0,6,07,09,67,0D,00,00,00,00,
16544151,00000527,false,Rx,0,6,06,0E,05,81,00,00,00,00,
16580303,00000522,false,Rx,0,6,01,06,2B,D6,05,00,00,00,
16592392,00000523,false,Rx,0,6,02,06,F6,FF,FF,FF,00,00,
16689020,00000521,false,Rx,0,6,00,09,07,00,00,00,00,00,
16731638,00000526,false,Rx,0,6,05,05,02,00,00,00,00,00,
16864170,00000524,false,Rx,0,6,03,09,EE,FF,FF,FF,00,00,
16874251,00000525,false,Rx,0,6,04,0E,BB,00,00,00,00,00,
17160164,00000528,false,Rx,0,6,07,0A,67,0D,00,00,00,00,
17210396,00000522,false,Rx,0,6,01,07,2A,D6,05,00,00,00,
17240615,00000523,false,Rx,0,6,02,07,F7,FF,FF,FF,00,00,
17264834,00000527,false,Rx,0,6,06,0F,05,81,00,00,00,00,
17300992,00000521,false,Rx,0,6,00,0A,08,00,00,00,00,00,
17434194,00000526,false,Rx,0,6,05,06,0C,00,00,00,00,00,
