Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
27790604,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
27889653,00000523,false,Rx,0,6,02,03,FA,FF,FF,FF,00,00,
27890111,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
27890350,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
27890602,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
27907787,00000521,false,Rx,0,6,00,0C,F5,FF,FF,FF,00,00,
27958227,00000525,false,Rx,0,6,04,02,8F,00,00,00,00,00,
27990118,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
27990351,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
27990596,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28090097,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28090358,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28090594,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28171909,00000522,false,Rx,0,6,01,02,C1,74,05,00,00,00,
28190106,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28190354,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28190593,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28242485,00000524,false,Rx,0,6,03,0F,F7,FF,FF,FF,00,00,
28289162,00000526,false,Rx,0,6,05,0C,02,00,00,00,00,00,
28290093,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28290345,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28290604,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28321158,00000527,false,Rx,0,6,06,0A,3D,A9,00,00,00,00,
28390110,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28390344,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28390590,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28403834,00000528,false,Rx,0,6,07,0B,46,10,00,00,00,00,
28490095,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28490341,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28490586,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28520686,00000521,false,Rx,0,6,00,0D,F7,FF,FF,FF,00,00,
28538843,00000523,false,Rx,0,6,02,04,E8,FF,FF,FF,00,00,
28590104,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28590337,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28590590,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28643694,00000525,false,Rx,0,6,04,03,8F,00,00,00,00,00,
28690097,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28690337,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28690583,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28790095,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28790335,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28790581,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28802935,00000522,false,Rx,0,6,01,03,C9,74,05,00,00,00,
28890091,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28890334,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28890580,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28909812,00000524,false,Rx,0,6,03,00,EF,FF,FF,FF,00,00,
28990106,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28990333,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28990579,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
28992778,00000526,false,Rx,0,6,05,0D,00,00,00,00,00,00,
29042929,00000527,false,Rx,0,6,06,0B,3D,A9,00,00,00,00,
29090088,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29090330,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29090575,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29133588,00000521,false,Rx,0,6,00,0E,F8,FF,FF,FF,00,00,
29143744,00000528,false,Rx,0,6,07,0C,46,10,00,00,00,00,
29188037,00000523,false,Rx,0,6,02,05,E8,FF,FF,FF,00,00,
29190093,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29190326,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29190571,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29290071,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29290325,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29290571,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29329179,00000525,false,Rx,0,6,04,04,8F,00,00,00,00,00,
29390092,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29390320,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29390568,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29433993,00000522,false,Rx,0,6,01,04,C8,74,05,00,00,00,
29490071,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29490317,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
