Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2071998,00000526,false,Rx,0,6,05,0B,28,01,00,00,00,00,
2186225,00000523,false,Rx,0,6,02,04,EC,FF,FF,FF,00,00,
2222537,00000527,false,Rx,0,6,06,0F,8B,94,00,00,00,00,
2409265,00000522,false,Rx,0,6,01,0F,B8,DC,05,00,00,00,
2412267,00000521,false,Rx,0,6,00,0E,03,FD,FF,FF,00,00,
2415362,00000528,false,Rx,0,6,07,06,A2,0F,00,00,00,00,
2483629,00000525,false,Rx,0,6,04,0B,17,01,00,00,00,00,
2576349,00000524,false,Rx,0,6,03,0E,F1,FF,FF,FF,00,00,
2773168,00000526,false,Rx,0,6,05,0C,2B,01,00,00,00,00,
2833218,00000523,false,Rx,0,6,02,05,EB,FF,FF,FF,00,00,
2941794,00000527,false,Rx,0,6,06,00,8C,94,00,00,00,00,
3023099,00000521,false,Rx,0,6,00,0F,FD,FC,FF,FF,00,00,
3038165,00000522,false,Rx,0,6,01,00,C1,DC,05,00,00,00,
3152787,00000528,false,Rx,0,6,07,07,A2,0F,00,00,00,00,
3166798,00000525,false,Rx,0,6,04,0C,17,01,00,00,00,00,
3241127,00000524,false,Rx,0,6,03,0F,EC,FF,FF,FF,00,00,
3474529,00000526,false,Rx,0,6,05,0D,26,01,00,00,00,00,
3480549,00000523,false,Rx,0,6,02,06,F6,FF,FF,FF,00,00,
3633938,00000521,false,Rx,0,6,00,00,FD,FC,FF,FF,00,00,
3661453,00000527,false,Rx,0,6,06,01,8C,94,00,00,00,00,
3667100,00000522,false,Rx,0,6,01,01,BE,DC,05,00,00,00,
3849971,00000525,false,Rx,0,6,04,0D,17,01,00,00,00,00,
3890213,00000528,false,Rx,0,6,07,08,A2,0F,00,00,00,00,
3906226,00000524,false,Rx,0,6,03,00,E7,FF,FF,FF,00,00,
4127247,00000523,false,Rx,0,6,02,07,F6,FF,FF,FF,00,00,
4175611,00000526,false,Rx,0,6,05,0E,24,01,00,00,00,00,
4244793,00000521,false,Rx,0,6,00,01,01,FD,FF,FF,00,00,
4296020,00000522,false,Rx,0,6,01,02,BE,DC,05,00,00,00,
4380492,00000527,false,Rx,0,6,06,02,8D,94,00,00,00,00,
4533155,00000525,false,Rx,0,6,04,0E,17,01,00,00,00,00,
4571316,00000524,false,Rx,0,6,03,01,FE,FF,FF,FF,00,00,
4627645,00000528,false,Rx,0,6,07,09,A2,0F,00,00,00,00,
4774264,00000523,false,Rx,0,6,02,08,FA,FF,FF,FF,00,00,
4855636,00000521,false,Rx,0,6,00,02,04,FD,FF,FF,00,00,
4877072,00000526,false,Rx,0,6,05,0F,27,01,00,00,00,00,
4924949,00000522,false,Rx,0,6,01,03,C2,DC,05,00,00,00,
5099835,00000527,false,Rx,0,6,06,03,8D,94,00,00,00,00,
5216330,00000525,false,Rx,0,6,04,0F,17,01,00,00,00,00,
5236420,00000524,false,Rx,0,6,03,02,EA,FF,FF,FF,00,00,
5365079,00000528,false,Rx,0,6,07,0A,A2,0F,00,00,00,00,
5421265,00000523,false,Rx,0,6,02,09,EE,FF,FF,FF,00,00,
5466783,00000521,false,Rx,0,6,00,03,05,FD,FF,FF,00,00,
5553874,00000522,false,Rx,0,6,01,04,BD,DC,05,00,00,00,
5578325,00000526,false,Rx,0,6,05,00,22,01,00,00,00,00,
5819171,00000527,false,Rx,0,6,06,04,8E,94,00,00,00,00,
5899504,00000525,false,Rx,0,6,04,00,17,01,00,00,00,00,
5901492,00000524,false,Rx,0,6,03,03,F4,FF,FF,FF,00,00,
6068269,00000523,false,Rx,0,6,02,0A,EE,FF,FF,FF,00,00,
6077301,00000521,false,Rx,0,6,00,04,02,FD,FF,FF,00,00,
6102778,00000528,false,Rx,0,6,07,0B,A2,0F,00,00,00,00,
6182782,00000522,false,Rx,0,6,01,05,B7,DC,05,00,00,00,
6279789,00000526,false,Rx,0,6,05,01,28,01,00,00,00,00,
6538508,00000527,false,Rx,0,6,06,05,8F,94,00,00,00,00,
