Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21079019,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,D3,00,
21103829,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,DB,00,
21129011,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,E0,00,
21153821,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,EC,00,
88994,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,F0,00,
113815,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,FB,00,
138989,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,02,00,
163811,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,0A,00,
188986,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,10,00,
213804,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,1A,00,
214038,00000495,false,Rx,1,8,10,00,00,41,01,72,33,8E,
238981,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,22,00,
263795,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,2A,00,
288971,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,32,00,
313794,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,38,00,
338964,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,42,00,
363777,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,4A,00,
388957,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,52,00,
413769,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,5A,00,
438943,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,62,00,
463766,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,6A,00,
488935,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,72,00,
513754,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,78,00,
538935,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,82,00,
563762,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,8B,00,
588929,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,92,00,
613748,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,9A,00,
638919,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,A2,00,
663743,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,AA,00,
688915,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,B0,00,
713740,000001D6,false,Rx,1,7,00,30,A7,57,57,0F,BA,00,
738913,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,C0,00,
763727,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,C8,00,
788898,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,D3,00,
813723,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,DB,00,
838909,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,E0,00,
863718,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,EC,00,
888895,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,F0,00,
913721,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,FB,00,
938896,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,02,00,
963705,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,0A,00,
988883,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,10,00,
1013694,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,1A,00,
1038879,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,22,00,
1063689,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,2A,00,
1088865,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,32,00,
1113679,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,38,00,
1138860,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,42,00,
1163679,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,4A,00,
1188848,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,52,00,
1213662,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,5A,00,
1213896,00000495,false,Rx,1,8,11,00,01,46,01,72,33,8E,
1238843,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,62,00,
1263664,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,6A,00,
1288842,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,72,00,
1313649,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,78,00,
1338834,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,82,00,
1363658,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,8B,00,
1388818,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,92,00,
1413650,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,9A,00,
1438820,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,A2,00,
1463638,000001D6,false,Rx,1,7,00,30,A8,57,57,0F,AA,00,
